"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C102,C502,C202,C406,C405,C205,C401,C201,C503,C402";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";10;"100nF";;;
2;"C101";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100n";;;
3;"Z102,Z101";"D_MiniMELF_Handsoldering";2;"4.7V";;;
4;"U301";"SOT-23";1;"A1101ELHL";;;
5;"R101,R601,R103";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"330";;;
6;"D101,D401,D501";"D_MiniMELF_Handsoldering";3;"LL4148";;;
7;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7n";;;
8;"R102,R203,R401";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
9;"C504,C501";"CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder";2;"1uF";;;
10;"C404,C403,C204,C203";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"22pF";;;
11;"J601,J602";"RJ45_YH59_01";2;"RJ45";;;
12;"D201";"SOT-23_Handsoldering";1;"pesd1can";;;
13;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
14;"F501";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mA";;;
15;"U501";"TO-220-3_Horizontal_TabDown_SMD";1;"LM7805";;;
16;"U401";"DIP-28_W7.62mm_Socket";1;"ATMEGA328P-PU";;;
17;"R202";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4k7";;;
18;"D402,D403";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED_RED";;;
19;"R402,R404,R403,R405";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1k";;;
20;"U202";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
21;"U201";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551-I/SN";;;
22;"Y401,Y201";"Crystal_HC49-U_Vertical";2;"16MHz";;;
23;"J401";"PinHeader_1x04_P2.54mm_Vertical";1;"USART";;;
24;"R201";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"120";;;
